District,gnn_embed_0,gnn_embed_1,gnn_embed_2,gnn_embed_3,gnn_embed_4,gnn_embed_5,gnn_embed_6,gnn_embed_7,gnn_embed_8,gnn_embed_9,gnn_embed_10,gnn_embed_11,gnn_embed_12,gnn_embed_13,gnn_embed_14,gnn_embed_15,gnn_embed_16,gnn_embed_17,gnn_embed_18,gnn_embed_19,gnn_embed_20,gnn_embed_21,gnn_embed_22,gnn_embed_23,gnn_embed_24,gnn_embed_25,gnn_embed_26,gnn_embed_27,gnn_embed_28,gnn_embed_29,gnn_embed_30,gnn_embed_31,gnn_embed_32,gnn_embed_33,gnn_embed_34,gnn_embed_35,gnn_embed_36,gnn_embed_37,gnn_embed_38,gnn_embed_39,gnn_embed_40,gnn_embed_41,gnn_embed_42,gnn_embed_43,gnn_embed_44,gnn_embed_45,gnn_embed_46,gnn_embed_47,gnn_embed_48,gnn_embed_49,gnn_embed_50,gnn_embed_51,gnn_embed_52,gnn_embed_53,gnn_embed_54,gnn_embed_55,gnn_embed_56,gnn_embed_57,gnn_embed_58,gnn_embed_59,gnn_embed_60,gnn_embed_61,gnn_embed_62,gnn_embed_63
Nicobarislands,0.0,0.0,0.0,0.0,0.0,384.6662,224.97467,0.0,0.0,145.55171,60.757656,81.014114,0.0,366.53894,0.0,0.0,0.0,0.0,285.0608,413.6649,0.0,0.0,0.0,0.0,325.89075,0.0,0.0,275.3403,161.86046,0.0,0.0,53.944008,0.0,0.0,0.0,0.0,0.0,0.0,6.041012,0.0,134.26991,159.27374,46.362946,95.71126,108.5584,0.0,0.0,0.0,186.06941,388.1849,0.0,74.30782,0.0,0.0,0.0,136.76941,145.69408,0.0,0.0,40.88438,203.48071,0.0,0.0,26.309023
Northandmiddleandaman,0.0,0.0,0.0,0.0,0.0,330.70346,192.91972,0.0,0.0,125.07601,49.974228,67.19466,0.0,312.52426,0.0,0.0,0.0,0.0,242.80211,353.1801,0.0,0.0,0.0,0.0,280.8113,0.0,0.0,234.17091,138.20346,0.0,0.0,46.757977,0.0,0.0,0.0,0.0,0.0,0.0,2.3747456,0.0,114.822914,137.12105,37.474686,81.41924,86.877556,0.0,0.0,0.0,159.3127,330.34296,0.0,68.09,0.0,0.0,0.0,116.70896,121.27806,0.0,0.0,31.685888,171.55386,0.0,0.0,21.37139
Southandaman,0.0,0.0,0.0,0.0,0.0,384.67764,224.95863,0.0,0.0,145.49594,60.66626,80.78991,0.0,366.44476,0.0,0.0,0.0,0.0,284.90875,413.46768,0.0,0.0,0.0,0.0,326.0231,0.0,0.0,275.1421,161.83746,0.0,0.0,53.998573,0.0,0.0,0.0,0.0,0.0,0.0,5.7899175,0.0,134.25432,159.34201,46.30706,95.7851,107.982475,0.0,0.0,0.0,185.99348,387.8921,0.0,74.61054,0.0,0.0,0.0,136.65332,145.20874,0.0,0.0,40.671543,203.1843,0.0,0.0,26.122059
Anantapur,0.0,0.0,0.0,0.0,110.212265,78.66791,284.152,0.0,0.0,389.2069,163.36694,3.1381073,0.0,443.62622,154.2968,0.0,0.0,0.0,41.78444,335.36444,0.0,0.0,0.0,0.0,101.96266,0.0,0.0,23.666733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.9383,0.0,65.58238,0.0,0.0,0.0,0.0,78.16414,48.74465,123.47928,0.0,322.7957,67.96507,42.293518,0.0,0.0,99.10785,0.0,0.0,0.0,9.115364,0.0,0.0,306.57562,1.0888824,0.0,0.0,0.0
Chittoor,0.0,0.0,0.0,0.0,83.63052,380.76312,453.00247,0.0,0.0,484.45135,214.41171,77.87418,0.0,725.01355,0.0,0.0,0.0,0.0,275.7046,659.1872,0.0,0.0,0.0,0.0,353.04785,0.0,0.0,254.41995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.48285,0.0,79.80001,0.0,54.84732,0.0,0.0,155.07297,163.00778,85.96199,0.0,281.55676,214.49675,363.29953,0.0,0.0,0.0,0.0,0.0,0.0,143.53085,0.0,0.0,340.93817,179.69041,0.0,0.0,0.0
Eastgodavari,0.0,0.0,0.0,0.0,120.27202,134.20398,341.26288,0.0,0.0,448.03406,191.92114,17.27533,0.0,536.6704,140.83836,0.0,0.0,0.0,87.4198,428.5886,0.0,0.0,0.0,0.0,150.14612,0.0,0.0,67.611145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.79369,0.0,78.75002,0.0,0.0,0.0,0.0,99.26675,83.56027,126.94387,0.0,346.35962,99.66648,105.62445,0.0,0.0,72.436066,0.0,0.0,0.0,36.9918,0.0,0.0,345.37582,34.15059,0.0,0.0,0.0
Guntur,0.0,0.0,0.0,0.0,90.74726,118.83183,281.30096,0.0,0.0,360.2328,151.47195,11.260059,0.0,439.86813,116.72778,0.0,0.0,0.0,71.42671,343.97186,0.0,0.0,0.0,0.0,133.14236,0.0,0.0,55.130127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.08746,0.0,54.32617,0.0,0.0,0.0,0.0,83.452415,47.795406,106.55039,0.0,285.75708,82.29377,81.53346,0.0,0.0,53.466217,0.0,0.0,0.0,22.746552,0.0,0.0,279.18915,24.530472,0.0,0.0,0.0
Krishna,0.0,0.0,0.0,0.0,94.79755,111.84743,278.86066,0.0,0.0,360.25232,150.2155,11.016724,0.0,433.19208,117.13103,0.0,0.0,0.0,66.24141,340.2916,0.0,0.0,0.0,0.0,126.26573,0.0,0.0,51.16107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.80916,0.0,57.691257,0.0,0.0,0.0,0.0,77.99977,52.014847,108.47477,0.0,282.877,78.97168,76.763336,0.0,0.0,61.392685,0.0,0.0,0.0,25.324837,0.0,0.0,278.71094,23.065704,0.0,0.0,0.0
Kurnool,0.0,0.0,0.0,0.0,92.35393,118.417496,277.60623,0.0,0.0,355.07056,147.31326,14.335873,0.0,432.203,108.34262,0.0,0.0,0.0,70.4729,341.39178,0.0,0.0,0.0,0.0,131.23193,0.0,0.0,54.302765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.64948,0.0,57.894073,0.0,0.0,0.0,0.0,76.7176,53.925705,106.85334,0.0,275.58426,81.49747,82.53972,0.0,0.0,54.33052,0.0,0.0,0.0,29.631653,0.0,0.0,274.9558,27.350967,0.0,0.0,0.0
Nellore,0.0,0.0,0.0,0.0,132.08794,39.596436,291.52985,0.0,0.0,422.90146,178.64435,0.0,0.0,453.4273,191.54037,0.0,0.0,0.0,15.029083,331.86676,0.0,0.0,0.0,0.0,70.58975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.2648,0.0,77.91795,0.0,0.0,0.0,0.0,73.66324,55.07784,139.50829,0.0,357.09018,54.22193,7.039795,0.0,0.0,148.06052,0.0,0.0,0.0,0.81928253,0.0,0.0,339.93854,0.0,0.0,0.0,0.0
Prakasam,0.0,0.0,0.0,0.0,91.86594,116.82887,279.27954,0.0,0.0,359.32394,150.40337,11.683193,0.0,436.0772,115.900986,0.0,0.0,0.0,69.77588,343.3159,0.0,0.0,0.0,0.0,130.8054,0.0,0.0,53.32776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.91556,0.0,55.724377,0.0,0.0,0.0,0.0,81.71006,50.067253,106.57459,0.0,285.11942,81.82886,80.711624,0.0,0.0,54.610138,0.0,0.0,0.0,23.079048,0.0,0.0,276.5589,24.270248,0.0,0.0,0.0
Srikakulam,0.0,0.0,0.0,0.0,107.80266,100.09668,288.72733,0.0,0.0,385.1931,159.40106,11.385548,0.0,448.8564,131.19319,0.0,0.0,0.0,57.609604,351.28662,0.0,0.0,0.0,0.0,117.38307,0.0,0.0,40.29268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.25385,0.0,68.04432,0.0,0.0,0.0,0.0,75.946396,60.56119,119.20141,0.0,304.70737,76.948235,67.40683,0.0,0.0,81.82228,0.0,0.0,0.0,25.469582,0.0,0.0,299.13782,16.673615,0.0,0.0,0.0
