District,Age,Obese(%),Cholesterol(%),PM2.5,NO2,SO2,Population_Density,Sleep_Hours,NDVI
Nicobarislands,48.36358873165277,17.219431431897313,23.81258547551581,48.05328475210434,19.015224424452033,9.905972083984867,940.8527739534734,7.835804588580955,0.5302467668848928
Northandmiddleandaman,48.444724779649135,17.579967584663187,24.09084091736314,44.409491911991495,17.44289352010432,9.066551350004852,801.9442186352803,7.839339286964886,0.5920489505852875
Southandaman,48.84079608468681,17.33086557428633,23.99099586344108,48.62209170996989,19.150222514215823,10.136634790944997,940.4233479163481,7.860955738830854,0.5204882781122362
Anantapur,49.63265306122449,16.79795918367347,22.855102040816327,48.861224489795916,19.26734693877551,10.381632653061224,788.3265306122449,7.887755102040816,0.5174489795918368
Chittoor,49.755102040816325,18.838775510204083,24.526530612244898,70.16530612244898,27.016326530612243,15.995918367346938,1528.6734693877552,7.8612244897959185,0.15236734693877552
Eastgodavari,47.87313186705423,17.525264814970264,24.361815068001352,51.748395396133596,20.760429149553456,11.08484669813511,998.9736313187857,7.817400811643587,0.4745206727679446
Guntur,46.42857142857143,15.957142857142857,22.610204081632656,55.57551020408163,22.857142857142858,12.03265306122449,812.3877551020408,7.86734693877551,0.41918367346938773
Krishna,46.32,17.77,24.03,44.81399999999999,18.016,9.464,799.58,7.85,0.59402
Kurnool,47.72,16.43,23.081999999999997,42.066,16.374000000000002,8.454,802.9,7.79,0.61564
Nellore,44.38,16.236,22.261999999999997,36.705999999999996,14.744000000000002,6.877999999999999,778.24,7.8,0.73072
Prakasam,48.58,17.594,23.96,53.163999999999994,21.064,11.092,806.24,7.774,0.46631999999999996
Srikakulam,50.30612244897959,17.783673469387754,25.114285714285714,36.104081632653056,14.338775510204082,6.593877551020409,820.5714285714286,7.779591836734694,0.7501224489795918
Visakhapatnam,49.38775510204081,17.312244897959182,24.248979591836736,66.36530612244898,26.26938775510204,14.575510204081633,1514.4489795918366,7.853061224489796,0.21646938775510202
Vizianagaram,47.91836734693877,17.238775510204082,23.377551020408163,48.046938775510206,19.142857142857142,10.455102040816326,801.7551020408164,7.90204081632653,0.5134693877551021
Westgodavari,47.18723408331221,17.350001495536755,24.114881003374425,50.35898606296587,20.352397093966065,10.735365775419941,910.5816976467638,7.819773339343527,0.5037985473830566
Y.S.R.,47.86134397902429,17.18125628355409,23.302044009083595,50.14017522875824,19.673232512802144,10.550940349831652,955.7619997135104,7.824581668151185,0.49736345738026627
Anjaw,45.51020408163265,16.022448979591836,23.526530612244898,68.0530612244898,25.857142857142858,15.50204081632653,1491.6326530612246,7.895918367346939,0.1696734693877551
