iter	Passed	Remaining
0	166	166084
1	178	89175
2	191	63749
3	203	50749
4	216	43120
5	227	37756
6	240	34057
7	252	31278
8	264	29123
9	276	27391
10	289	25999
11	301	24801
12	313	23810
13	325	22915
14	338	22247
15	350	21574
16	365	21109
17	384	20974
18	406	21008
19	424	20817
20	444	20725
21	462	20547
22	479	20380
23	499	20299
24	518	20219
25	539	20215
26	558	20130
27	575	19967
28	592	19850
29	608	19689
30	626	19596
31	648	19619
32	670	19645
33	694	19718
34	718	19811
35	738	19781
36	760	19800
37	777	19684
38	798	19674
39	817	19624
40	837	19587
41	851	19412
42	872	19417
43	890	19357
44	907	19264
45	926	19223
46	943	19140
47	964	19125
48	984	19103
49	1003	19075
50	1024	19057
51	1043	19022
52	1061	18974
53	1079	18903
54	1097	18864
55	1117	18834
56	1136	18805
57	1156	18789
58	1174	18733
59	1194	18717
60	1213	18676
61	1231	18631
62	1251	18618
63	1270	18579
64	1289	18544
65	1307	18506
66	1328	18499
67	1346	18451
68	1365	18425
69	1384	18397
70	1409	18436
71	1429	18420
72	1449	18410
73	1468	18372
74	1485	18325
75	1506	18320
76	1529	18332
77	1547	18293
78	1565	18249
79	1585	18234
80	1601	18174
81	1622	18161
82	1646	18185
83	1663	18144
84	1740	18734
85	1758	18688
86	1777	18651
87	1809	18755
88	1828	18715
89	1848	18690
90	1868	18663
91	1888	18635
92	1911	18645
93	1937	18671
94	1953	18606
95	1977	18623
96	2001	18632
97	2022	18615
98	2047	18635
99	2071	18646
100	2094	18642
101	2112	18595
102	2133	18576
103	2149	18517
104	2167	18478
105	2185	18429
106	2201	18373
107	2219	18329
108	2234	18265
109	2245	18169
110	2256	18071
111	2268	17984
112	2281	17909
113	2292	17816
114	2303	17723
115	2322	17697
116	2343	17687
117	2361	17654
118	2381	17631
119	2401	17607
120	2417	17562
121	2432	17508
122	2450	17474
123	2468	17438
124	2485	17395
125	2501	17354
126	2519	17317
127	2536	17277
128	2551	17224
129	2566	17175
130	2582	17131
131	2599	17094
132	2614	17045
133	2631	17009
134	2646	16959
135	2663	16922
136	2680	16888
137	2695	16838
138	2712	16803
139	2729	16769
140	2745	16723
141	2760	16679
142	2778	16649
143	2793	16604
144	2809	16569
145	2826	16532
146	2841	16489
147	2858	16456
148	2881	16457
149	2901	16441
150	2918	16410
151	2939	16400
152	2963	16406
153	2979	16367
154	2999	16349
155	3018	16331
156	3037	16308
157	3053	16273
158	3072	16251
159	3088	16216
160	3104	16179
161	3119	16134
162	3133	16091
163	3152	16071
164	3169	16038
165	3186	16008
166	3201	15970
167	3216	15928
168	3232	15896
169	3249	15866
170	3268	15843
171	3287	15826
172	3305	15801
173	3324	15780
174	3344	15766
175	3362	15741
176	3380	15716
177	3399	15699
178	3418	15679
179	3434	15644
180	3453	15626
181	3470	15597
182	3488	15573
183	3503	15536
184	3520	15509
185	3538	15484
186	3555	15459
187	3573	15436
188	3588	15397
189	3604	15364
190	3621	15339
191	3635	15300
192	3652	15272
193	3669	15245
194	3685	15214
195	3700	15179
196	3715	15146
197	3729	15107
198	3742	15065
199	3756	15026
200	3772	14995
201	3788	14965
202	3800	14923
203	3817	14895
204	3830	14853
205	3844	14817
206	3858	14782
207	3872	14745
208	3886	14710
209	3901	14677
210	3914	14635
211	3927	14598
212	3943	14571
213	3956	14533
214	3968	14490
215	3981	14450
216	3994	14412
217	4007	14377
218	4021	14340
219	4033	14301
220	4046	14262
221	4057	14220
222	4069	14180
223	4083	14145
224	4096	14111
225	4109	14075
226	4122	14037
227	4133	13997
228	4146	13959
229	4157	13918
230	4170	13883
231	4182	13845
232	4195	13810
233	4207	13771
234	4219	13736
235	4231	13698
236	4243	13662
237	4254	13622
238	4266	13585
239	4279	13552
240	4292	13518
241	4309	13498
242	4321	13460
243	4334	13430
244	4345	13391
245	4357	13356
246	4369	13319
247	4381	13285
248	4392	13249
249	4405	13216
250	4417	13182
251	4430	13149
252	4441	13113
253	4452	13076
254	4464	13044
255	4477	13011
256	4490	12981
257	4501	12946
258	4514	12915
259	4526	12882
260	4540	12854
261	4552	12823
262	4564	12790
263	4576	12758
264	4587	12725
265	4601	12696
266	4613	12665
267	4626	12636
268	4637	12602
269	4649	12570
270	4661	12539
271	4673	12508
272	4685	12477
273	4696	12445
274	4708	12414
275	4720	12381
276	4732	12352
277	4743	12320
278	4756	12291
279	4768	12261
280	4780	12230
281	4792	12201
282	4805	12173
283	4816	12142
284	4830	12117
285	4841	12086
286	4853	12057
287	4864	12026
288	4878	12001
289	4889	11971
290	4902	11944
291	4914	11915
292	4927	11889
293	4938	11860
294	4951	11832
295	4961	11801
296	4973	11772
297	4986	11746
298	4998	11718
299	5010	11691
300	5023	11665
301	5034	11636
302	5045	11607
303	5058	11580
304	5069	11552
305	5082	11525
306	5093	11497
307	5106	11473
308	5118	11445
309	5130	11419
310	5141	11391
311	5153	11365
312	5165	11336
313	5176	11308
314	5188	11283
315	5199	11255
316	5212	11230
317	5224	11204
318	5236	11179
319	5248	11152
320	5262	11130
321	5273	11104
322	5286	11079
323	5297	11052
324	5308	11026
325	5321	11002
326	5334	10978
327	5346	10952
328	5357	10926
329	5369	10902
330	5381	10876
331	5395	10855
332	5407	10831
333	5419	10806
334	5430	10780
335	5442	10756
336	5453	10729
337	5466	10706
338	5477	10680
339	5489	10656
340	5500	10630
341	5512	10605
342	5524	10582
343	5536	10558
344	5549	10535
345	5560	10510
346	5572	10487
347	5584	10462
348	5596	10439
349	5607	10414
350	5618	10389
351	5632	10368
352	5643	10344
353	5656	10322
354	5667	10297
355	5679	10274
356	5691	10250
357	5703	10227
358	5714	10202
359	5725	10179
360	5737	10156
361	5749	10132
362	5761	10110
363	5772	10086
364	5785	10065
365	5797	10042
366	5810	10021
367	5822	9999
368	5834	9977
369	5846	9955
370	5859	9933
371	5870	9910
372	5882	9889
373	5895	9867
374	5907	9846
375	5919	9823
376	5931	9801
377	5942	9778
378	5954	9756
379	5967	9735
380	5978	9713
381	5990	9692
382	6001	9668
383	6015	9649
384	6026	9627
385	6039	9606
386	6051	9585
387	6064	9566
388	6076	9543
389	6088	9522
390	6101	9503
391	6117	9488
392	6134	9474
393	6153	9463
394	6171	9452
395	6190	9441
396	6207	9428
397	6226	9418
398	6246	9408
399	6262	9393
400	6277	9377
401	6291	9359
402	6306	9342
403	6321	9325
404	6338	9312
405	6354	9296
406	6370	9281
407	6387	9267
408	6404	9254
409	6420	9239
410	6437	9225
411	6457	9216
412	6474	9202
413	6490	9187
414	6504	9169
415	6522	9155
416	6538	9140
417	6555	9126
418	6570	9110
419	6588	9099
420	6605	9084
421	6623	9072
422	6644	9062
423	6661	9049
424	6678	9036
425	6696	9023
426	6714	9010
427	6731	8996
428	6751	8986
429	6769	8972
430	6786	8959
431	6804	8946
432	6823	8934
433	6849	8932
434	6867	8920
435	6886	8907
436	6904	8894
437	6920	8880
438	6938	8866
439	6956	8853
440	6972	8837
441	6988	8822
442	7006	8809
443	7023	8795
444	7040	8780
445	7057	8766
446	7073	8750
447	7090	8735
448	7108	8723
449	7124	8708
450	7139	8691
451	7154	8674
452	7167	8654
453	7182	8637
454	7198	8622
455	7213	8605
456	7229	8589
457	7249	8579
458	7268	8566
459	7283	8549
460	7300	8535
461	7315	8519
462	7333	8505
463	7349	8490
464	7367	8476
465	7385	8463
466	7402	8448
467	7418	8433
468	7437	8420
469	7456	8407
470	7474	8394
471	7491	8380
472	7509	8366
473	7527	8353
474	7544	8338
475	7563	8325
476	7579	8310
477	7596	8295
478	7616	8284
479	7638	8275
480	7660	8266
481	7681	8254
482	7700	8243
483	7718	8229
484	7735	8214
485	7755	8202
486	7773	8188
487	7791	8174
488	7811	8163
489	7829	8149
490	7847	8135
491	7864	8120
492	7882	8105
493	7900	8092
494	7919	8079
495	7937	8065
496	7953	8049
497	7970	8034
498	7988	8020
499	8005	8005
500	8022	7990
501	8041	7977
502	8059	7962
503	8074	7946
504	8090	7930
505	8110	7917
506	8127	7902
507	8144	7888
508	8163	7875
509	8180	7859
510	8197	7844
511	8212	7827
512	8228	7811
513	8243	7794
514	8261	7780
515	8278	7765
516	8296	7751
517	8313	7735
518	8330	7720
519	8347	7705
520	8365	7691
521	8384	7677
522	8402	7663
523	8419	7648
524	8438	7634
525	8457	7621
526	8476	7608
527	8495	7594
528	8512	7579
529	8530	7564
530	8547	7549
531	8565	7534
532	8586	7523
533	8606	7510
534	8623	7495
535	8643	7482
536	8660	7467
537	8677	7451
538	8696	7437
539	8713	7422
540	8732	7409
541	8750	7394
542	8767	7378
543	8784	7363
544	8801	7348
545	8817	7332
546	8835	7316
547	8856	7305
548	8874	7290
549	8892	7275
550	8909	7260
551	8929	7247
552	8946	7231
553	8963	7216
554	8983	7202
555	9002	7188
556	9020	7174
557	9038	7159
558	9055	7144
559	9076	7131
560	9095	7117
561	9112	7101
562	9135	7091
563	9154	7076
564	9173	7063
565	9189	7046
566	9207	7031
567	9222	7014
568	9240	6999
569	9258	6984
570	9279	6972
571	9298	6957
572	9316	6942
573	9332	6926
574	9353	6913
575	9369	6897
576	9385	6880
577	9399	6862
578	9415	6846
579	9431	6829
580	9446	6812
581	9461	6795
582	9475	6777
583	9488	6759
584	9504	6742
585	9518	6724
586	9532	6707
587	9545	6688
588	9561	6671
589	9574	6653
590	9587	6634
591	9600	6616
592	9613	6598
593	9627	6580
594	9642	6563
595	9656	6545
596	9669	6526
597	9682	6508
598	9695	6490
599	9708	6472
600	9723	6455
601	9737	6437
